E_nu[MeV],Flux_per_MeV
8.36,0.000146455
8.37,0.000144909
8.38,0.000143501
8.39,0.000142104
8.40,0.000140593
8.41,0.000138869
8.42,0.000136934
8.43,0.000134812
8.44,0.000132533
8.45,0.000130119
8.46,0.000127602
8.47,0.000125005
8.48,0.000122358
8.49,0.000119685
8.50,0.000117014
8.51,7.905e-05
8.52,7.73015e-05
8.53,7.55809e-05
8.54,7.38876e-05
8.55,7.22208e-05
8.56,7.05806e-05
8.57,6.89657e-05
8.58,6.73761e-05
8.59,6.58118e-05
8.60,6.42717e-05
8.61,6.27553e-05
8.62,6.12624e-05
8.63,5.97922e-05
8.64,5.83441e-05
8.65,5.69184e-05
8.66,5.55136e-05
8.67,5.41297e-05
8.68,5.27665e-05
8.69,5.14234e-05
8.70,5.0099e-05
8.71,4.87937e-05
8.72,4.75073e-05
8.73,4.62386e-05
8.74,4.49869e-05
8.75,4.37526e-05
8.76,4.25348e-05
8.77,4.13333e-05
8.78,4.01494e-05
8.79,3.89826e-05
8.80,3.78328e-05
8.81,3.67006e-05
8.82,3.55861e-05
8.83,3.44901e-05
8.84,3.34121e-05
8.85,3.23529e-05
8.86,3.13119e-05
8.87,3.02901e-05
8.88,2.92876e-05
8.89,2.83047e-05
8.90,2.73412e-05
8.91,2.63977e-05
8.92,2.54742e-05
8.93,2.45713e-05
8.94,2.36884e-05
8.95,2.28266e-05
8.96,2.1986e-05
8.97,2.11663e-05
8.98,2.03684e-05
8.99,1.95922e-05
9.00,1.88378e-05
9.01,1.67478e-05
9.02,1.61157e-05
9.03,1.5505e-05
9.04,1.49155e-05
9.05,1.43469e-05
9.06,1.37987e-05
9.07,1.32707e-05
9.08,1.27625e-05
9.09,1.22739e-05
9.10,1.18045e-05
9.11,1.13538e-05
9.12,1.09216e-05
9.13,1.05077e-05
9.14,1.01116e-05
9.15,9.73287e-06
9.16,9.37144e-06
9.17,9.02694e-06
9.18,8.69871e-06
9.19,8.38681e-06
9.20,8.09073e-06
9.21,7.81022e-06
9.22,7.54493e-06
9.23,7.2943e-06
9.24,7.05826e-06
9.25,6.83648e-06
9.26,6.62837e-06
9.27,6.43368e-06
9.28,6.25167e-06
9.29,6.08195e-06
9.30,5.92373e-06
9.31,5.77665e-06
9.32,5.64008e-06
9.33,5.51344e-06
9.34,5.39636e-06
9.35,5.28798e-06
9.36,5.18799e-06
9.37,5.09578e-06
9.38,5.01077e-06
9.39,4.93236e-06
9.40,4.86006e-06
9.41,4.79331e-06
9.42,4.73157e-06
9.43,4.67421e-06
9.44,4.62076e-06
9.45,4.57063e-06
9.46,4.52332e-06
9.47,4.47814e-06
9.48,4.43467e-06
9.49,4.08128e-06
9.50,4.35045e-06
9.51,0
9.52,0
9.53,0
9.54,0
9.55,0
9.56,0
9.57,0
9.58,0
9.59,0
9.60,0
9.61,0
9.62,0
9.63,0
9.64,0
9.65,0
9.66,0
9.67,0
9.68,0
9.69,0
9.70,0
9.71,0
9.72,0
9.73,0
9.74,0
9.75,0
9.76,0
9.77,0
9.78,0
9.79,0
9.80,0
9.81,0
9.82,0
9.83,0
9.84,0
9.85,0
9.86,0
9.87,0
9.88,0
9.89,0
9.90,0
9.91,0
9.92,0
9.93,0
9.94,0
9.95,0
9.96,0
9.97,0
9.98,0
9.99,0
10.0,0
